Age of company (years),Internet Activity Score,Employee Count,"Team Size Growth (0: No, 1: Yes)",Last Funding Amount ($),Country of company,Continent of company,Investors in Seed,Investors in Angel/VC,Number of Co-founders,Number of Advisors,Senior Leadership Team Size,Total Team Size,"Top Angel/VC in Previous Round (0: No, 1: Yes)",Number of Repeat Investors,Sales Support Material Count,"Worked in Top Companies (0: No, 1: Yes)",Average Past Company Size,"Part of Startups Before (0: No, 1: Yes)","Part of Successful Startups Before (0: No, 1: Yes)","Partner in Big 5 Consulting (0: No, 1: Yes)","Has Consulting Experience (0: No, 1: Yes)","Product or Service Company (0: Product, 1: Service)","Vertical Focus (0: Single, 1: Multiple)","Data Focus (0: Private, 1: Public)","Consumer Data Focus (0: No, 1: Yes)","Data Structure (0: Structured, 1: Unstructured)","Subscription Based (0: No, 1: Yes)","Cloud Based (0: No, 1: Yes)","Market Reach (0: Local, 1: Global)",Random Feature 1,Random Feature 2,Random Feature 3,Random Feature 4,Random Feature 5,Random Feature 6,Random Feature 7,Random Feature 8,Random Feature 9,Random Feature 10,Random Feature 11,Random Feature 12,Random Feature 13,Random Feature 14,Random Feature 15,Random Feature 16,Random Feature 17,Random Feature 18,Random Feature 19,Random Feature 20,Random Feature 21,Random Feature 22,Random Feature 23,Random Feature 24,Random Feature 25,Random Feature 26,Random Feature 27,Random Feature 28,Random Feature 29,Random Feature 30,Random Feature 31,Random Feature 32,Random Feature 33,Random Feature 34,Random Feature 35,Random Feature 36,Random Feature 37,Random Feature 38,Random Feature 39,Random Feature 40,Random Feature 41,Random Feature 42,Random Feature 43,Random Feature 44,Random Feature 45,Random Feature 46,Random Feature 47,Random Feature 48,Random Feature 49,Random Feature 50,Random Feature 51,Random Feature 52,Random Feature 53,Random Feature 54,Random Feature 55,Random Feature 56,Random Feature 57,Random Feature 58,Random Feature 59,Random Feature 60,Random Feature 61,Random Feature 62,Random Feature 63,Random Feature 64,Random Feature 65,Random Feature 66,Random Feature 67,Random Feature 68,Random Feature 69,Random Feature 70,Random Feature 71,Random Feature 72,Random Feature 73,Random Feature 74,Random Feature 75,Random Feature 76,Random Feature 77,Random Feature 78,Random Feature 79,Random Feature 80,Random Feature 81,Random Feature 82,Random Feature 83,Random Feature 84,Random Feature 85,Random Feature 86,Random Feature 87,Random Feature 88,Random Feature 89,Random Feature 90,Random Feature 91,Random Feature 92,Random Feature 93,Random Feature 94,Random Feature 95,Random Feature 96,Random Feature 97,Random Feature 98,Random Feature 99,Random Feature 100,Random Feature 101,Random Feature 102,Random Feature 103,Random Feature 104,Random Feature 105,Random Feature 106,Random Feature 107,Random Feature 108,Random Feature 109,Random Feature 110,Random Feature 111,Random Feature 112,Random Feature 113,Random Feature 114,Random Feature 115,Random Feature 116,Random Feature 117,Random Feature 118,Random Feature 119,Random Feature 120
19,51,148,0,811471.7361796108,Germany,Europe,4,8,3,3,7,9,1,5,3,1,5,0,1,1,0,1,1,0,0,1,0,1,0,6,2,9,5,2,9,1,2,4,6,9,7,6,10,5,9,2,5,9,7,4,7,4,7,4,5,10,3,6,8,7,2,10,1,2,6,2,10,2,3,4,7,3,9,5,2,10,10,8,7,7,8,4,9,10,2,6,3,9,3,9,3,6,6,1,2,1,3,5,1,7,3,3,1,10,7,9,4,1,2,2,9,4,6,3,4,6,1,5,5,6,3,4,7,1,4,4,9,3,9,7,10,6,4,2,3,3,3,10,6,1,7,9,7,5,1,10,5,1,1
9,22,31,1,707123.0709395041,Germany,Asia,9,3,4,7,2,7,1,1,10,0,8,1,0,0,1,0,1,1,1,0,1,0,1,10,4,5,3,9,8,5,7,2,8,10,8,1,6,2,10,4,9,7,6,5,8,6,1,9,6,10,3,8,1,10,3,1,3,5,10,5,7,4,7,2,8,1,10,9,4,2,2,9,2,2,2,5,10,10,9,5,4,5,2,8,9,4,5,1,7,7,8,10,5,6,7,3,8,8,4,8,5,9,9,2,4,9,7,8,5,2,5,6,8,1,6,5,9,10,1,2,1,1,2,3,1,10,6,3,3,4,10,2,2,4,10,1,3,6,5,6,5,4,4
8,63,213,1,924085.417073356,Germany,Asia,2,2,2,7,5,8,0,4,2,0,7,1,0,1,1,1,0,0,1,0,0,0,1,9,9,9,6,2,5,2,7,3,8,8,7,6,5,3,1,6,6,8,2,7,4,1,6,3,8,9,1,2,10,4,2,1,3,4,3,9,5,2,2,7,3,4,4,3,2,7,8,8,4,9,8,3,1,1,10,10,8,8,2,4,10,7,7,4,7,5,6,7,4,10,4,3,3,6,4,3,6,4,10,2,1,7,6,8,4,2,1,5,6,7,1,6,8,6,5,9,10,9,6,6,8,9,1,6,3,7,9,3,1,4,9,2,3,7,2,5,7,4,9
7,73,387,1,-108961.83072488406,USA,North America,6,7,1,6,3,5,0,7,8,1,5,1,1,0,0,0,1,0,0,1,1,0,0,3,10,2,6,6,4,6,8,7,5,10,1,3,1,4,5,4,4,5,7,1,2,6,9,2,8,5,5,1,10,2,5,3,10,7,4,7,4,9,9,1,6,6,9,7,2,7,6,7,7,8,9,8,1,9,9,10,5,4,1,1,5,7,3,4,9,2,10,9,3,4,7,5,9,10,5,3,5,7,10,8,9,4,6,9,4,5,6,7,8,4,7,4,7,1,3,2,3,3,9,9,4,2,3,8,3,2,6,10,3,4,8,6,9,7,2,3,8,8,2
6,58,315,0,746800.0941168522,China,Asia,9,1,2,9,4,8,0,8,5,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,2,3,6,8,5,5,7,5,5,8,8,5,9,2,5,8,10,6,4,5,2,1,9,9,7,2,8,3,1,4,10,3,10,10,8,3,10,5,10,2,5,10,5,3,3,10,3,5,1,4,9,4,6,5,3,7,8,2,2,3,3,6,2,1,4,7,2,10,9,5,3,9,4,7,9,3,3,2,2,6,3,6,8,4,10,8,9,3,10,5,6,6,8,5,9,6,1,10,8,1,1,10,10,2,1,9,3,2,9,10,2,10,8,10,2,1,7,9,10
17,97,490,1,1871047.5541594424,China,Asia,1,3,4,2,2,1,0,1,4,1,3,1,0,0,1,1,0,0,0,0,0,1,1,8,5,3,2,7,7,10,6,9,4,8,7,3,7,3,9,1,5,5,8,4,9,1,6,1,8,5,1,4,4,9,1,7,6,2,1,8,5,3,4,2,3,7,8,9,3,8,3,3,10,2,10,6,8,5,9,4,9,4,4,4,3,2,10,2,10,4,1,10,9,6,10,6,4,5,10,5,5,1,7,8,2,4,6,3,5,8,3,9,10,6,5,9,7,6,5,8,1,3,3,6,5,7,10,6,3,5,2,10,3,9,10,2,2,3,4,5,10,6,3
8,83,138,1,380990.2932147838,India,Europe,8,3,4,4,7,8,0,10,8,1,7,1,0,1,1,1,1,1,0,0,1,1,1,3,5,4,7,3,6,10,1,7,10,4,5,6,8,1,7,7,3,2,3,9,6,5,7,1,2,7,7,5,5,1,10,8,7,5,9,1,10,1,10,3,8,8,6,6,6,9,7,9,10,2,4,6,5,4,7,6,9,5,2,4,4,8,3,5,3,7,8,4,1,7,3,4,4,6,9,8,9,10,5,3,10,5,5,7,4,7,4,1,6,10,6,5,4,4,2,3,4,6,10,6,2,1,4,3,10,3,6,4,8,6,9,10,1,6,4,5,9,3,10
3,87,67,1,837356.4839454975,USA,North America,6,5,4,6,10,9,0,8,3,0,4,0,0,1,1,0,0,1,0,1,0,1,0,4,6,8,1,6,2,6,7,3,2,8,6,1,9,3,3,6,2,10,5,6,1,1,8,2,5,7,7,9,9,2,8,6,2,9,10,5,3,10,6,5,6,4,9,8,1,9,10,2,1,1,7,7,6,1,1,9,3,9,7,1,2,9,1,7,2,4,3,8,5,1,9,4,9,4,5,5,6,10,3,9,10,3,8,8,10,7,5,2,5,1,9,6,3,1,2,10,6,8,10,2,6,3,7,3,7,3,6,10,7,8,3,8,4,5,2,1,8,3,3
6,92,413,0,1032274.9809672127,USA,Asia,1,1,4,5,1,4,1,3,5,0,5,1,0,1,1,0,1,1,0,1,1,0,1,2,9,8,1,2,10,1,3,2,3,2,1,6,7,7,6,4,2,3,9,1,6,2,1,8,6,10,4,2,10,10,8,9,9,2,5,10,2,3,6,6,5,10,6,10,1,10,1,3,10,4,4,6,9,10,6,3,10,5,9,9,10,1,4,4,1,10,7,5,6,8,10,6,10,5,6,2,8,2,5,4,2,2,3,2,4,5,2,8,8,10,4,5,3,9,1,9,4,8,3,7,10,7,4,10,8,4,10,4,3,4,6,10,6,10,10,6,8,5,5
18,54,235,0,875453.7430325107,India,Asia,3,8,3,5,3,9,1,3,1,1,8,0,1,0,0,0,1,0,1,0,1,0,1,1,5,5,4,8,10,10,4,3,5,6,10,4,3,6,6,1,8,2,6,5,2,10,2,5,9,3,6,5,5,9,4,10,1,6,4,10,5,7,10,3,1,6,3,9,1,10,1,4,8,10,5,6,4,8,6,4,7,8,2,2,5,3,2,5,9,1,7,5,6,8,1,2,6,1,2,4,9,6,9,10,8,9,7,3,3,10,9,6,5,10,3,8,5,6,3,6,7,9,3,3,8,7,10,7,1,1,7,4,6,6,8,6,9,1,10,4,2,10,8
7,26,148,0,735747.574857272,China,North America,7,7,4,4,1,8,0,1,8,1,9,1,0,0,1,0,1,0,0,0,0,0,1,7,9,7,5,10,10,6,10,5,9,10,2,9,9,3,10,6,3,5,9,6,6,5,2,7,10,10,7,2,7,1,10,8,5,8,2,4,5,3,2,4,6,8,6,8,6,7,8,3,4,4,9,1,9,3,10,6,10,10,1,8,6,9,10,6,9,8,9,9,10,7,2,7,4,7,10,6,2,8,10,9,4,5,7,5,5,2,1,1,10,9,1,6,7,3,4,10,3,6,9,7,8,1,1,4,10,5,2,9,7,4,4,5,3,1,5,4,9,1,9
5,52,181,1,844698.5682011333,USA,Europe,1,2,4,3,8,8,1,2,1,1,7,0,0,0,0,0,0,1,1,1,0,1,0,3,5,5,3,8,4,1,7,3,3,5,10,5,2,10,8,2,8,2,9,3,6,1,7,4,2,2,2,9,10,8,4,3,8,3,3,7,4,9,6,1,4,3,6,1,5,8,3,8,4,2,6,8,1,6,3,8,8,1,1,4,9,8,3,7,10,5,8,3,6,4,9,1,4,5,9,1,6,1,5,9,1,5,8,8,5,4,1,6,6,7,2,2,5,10,3,8,1,8,10,8,5,7,1,9,5,10,10,2,2,6,10,8,9,3,7,9,7,6,6
17,18,429,0,933442.106046681,UK,North America,2,1,2,9,6,8,1,6,9,0,4,0,0,1,0,1,1,0,1,0,1,1,0,8,8,3,5,2,5,3,10,5,9,1,7,1,10,4,9,10,9,6,9,9,7,2,7,3,3,6,9,8,9,5,4,6,7,4,4,3,1,9,5,5,5,8,3,7,8,1,7,5,1,6,2,2,10,1,6,7,2,2,5,1,2,4,9,1,3,7,4,4,4,2,8,6,7,6,2,5,3,7,7,6,3,10,8,1,10,7,2,3,10,4,6,8,2,4,6,2,5,7,9,10,1,8,9,1,10,5,3,3,8,5,7,8,10,10,7,1,5,2,7
16,33,424,0,498231.92104613356,Germany,North America,7,4,2,9,2,10,0,8,8,1,10,1,0,1,1,1,1,1,1,1,0,1,0,10,8,3,2,10,3,1,9,8,7,4,9,8,9,8,2,3,8,9,7,4,4,4,9,7,6,1,9,3,1,8,1,6,6,3,8,8,10,1,4,5,8,2,10,3,2,2,7,1,3,8,5,7,6,9,1,3,1,2,4,2,1,1,9,7,6,3,3,8,10,9,4,1,6,7,10,8,6,3,6,5,2,9,2,1,4,2,8,3,3,5,7,10,6,6,7,7,1,3,9,4,9,3,2,3,9,5,4,3,2,4,8,5,5,9,6,10,4,6,5
15,25,413,0,932512.9396268468,USA,Asia,2,4,4,2,6,1,0,5,1,0,7,0,1,1,1,1,1,1,0,0,1,1,1,4,7,10,10,2,1,9,6,10,7,7,10,9,2,10,9,6,9,3,3,3,7,7,1,6,9,4,9,1,5,8,6,3,6,10,5,2,7,3,3,2,6,10,1,1,4,4,3,9,2,10,7,8,1,5,10,7,9,9,9,2,1,6,4,1,1,3,7,6,6,3,1,2,10,2,3,3,5,10,5,8,4,2,6,3,7,5,6,5,6,5,10,10,10,2,4,8,7,1,10,9,2,8,5,1,9,9,2,1,4,1,6,9,4,3,2,8,9,6,3
8,58,450,1,746009.3009143884,UK,North America,7,1,1,9,5,2,1,1,8,0,5,1,0,0,0,0,1,0,1,0,1,0,1,4,1,8,5,10,2,5,9,3,3,6,7,3,4,9,6,5,3,10,6,2,10,10,3,6,9,8,4,1,6,7,4,7,5,8,10,1,4,5,6,3,7,7,7,1,6,2,7,5,1,6,10,10,5,10,7,5,7,7,2,10,3,6,4,3,8,2,2,6,2,4,6,3,9,10,2,7,1,6,1,4,6,8,2,10,1,9,6,9,8,2,8,8,9,6,1,8,9,8,3,6,5,7,3,7,1,5,1,10,8,10,3,7,5,1,4,6,5,7,5
11,97,393,0,158193.7217678663,India,Europe,7,1,2,1,8,7,1,4,10,0,1,0,1,1,1,0,0,1,1,1,0,0,0,3,4,9,9,7,2,3,6,6,1,3,2,5,4,2,4,3,10,7,8,5,5,4,8,5,2,5,4,2,8,3,8,4,2,7,2,7,4,5,5,8,2,5,8,6,1,5,5,5,1,2,2,8,7,4,1,3,4,7,4,3,7,6,2,9,8,7,1,3,8,10,3,7,9,7,10,2,7,2,2,8,2,2,3,10,4,3,3,6,6,1,3,1,3,7,2,5,8,4,1,3,7,6,5,1,8,4,10,5,3,10,10,10,7,6,8,1,5,9,7
1,24,293,0,1090108.8601581603,India,Asia,3,8,1,5,1,2,0,8,9,0,8,1,0,1,1,1,1,0,0,1,1,0,1,8,9,4,10,7,1,10,1,1,2,10,7,5,3,9,3,5,2,1,8,1,3,10,10,3,5,7,4,2,9,2,6,8,2,5,2,3,3,9,6,8,7,4,4,1,7,2,3,7,1,2,10,2,10,10,8,6,2,8,4,5,1,4,3,9,8,4,3,4,8,8,1,7,9,2,2,6,4,6,6,7,4,9,1,5,1,6,3,8,10,10,6,1,1,8,3,8,8,1,7,8,5,5,3,4,9,10,8,1,5,8,6,9,9,6,7,6,7,1,2
8,70,165,0,826341.1119690638,Germany,North America,4,2,2,1,7,6,0,1,8,1,4,0,1,0,0,1,0,1,1,0,0,0,1,1,1,10,3,9,4,5,3,9,7,6,7,6,4,10,1,5,9,8,3,7,8,8,5,5,5,10,3,7,9,6,3,5,3,6,6,5,10,8,1,2,9,10,8,9,2,9,10,8,6,10,4,8,1,5,6,1,2,3,6,6,2,1,7,1,7,6,2,8,6,10,5,2,4,10,8,7,1,5,4,8,8,6,2,8,5,4,9,9,6,1,7,2,5,8,3,6,4,6,4,2,6,5,9,10,7,8,9,8,4,7,10,7,5,8,1,10,2,5,3
2,88,29,0,812567.0332463474,India,Europe,5,8,4,4,10,10,0,7,1,1,3,0,0,0,0,0,1,1,0,0,0,1,0,1,5,1,5,9,7,1,10,7,4,3,6,2,3,10,9,3,7,10,5,4,10,5,10,10,4,2,3,8,7,3,1,5,6,9,3,7,5,9,2,8,8,2,8,3,4,1,10,6,1,2,10,8,5,7,1,7,2,4,8,5,1,3,10,8,6,9,9,1,7,1,3,7,5,10,10,5,4,7,1,8,5,2,10,2,1,7,1,4,1,10,3,7,3,4,6,2,1,1,9,2,3,3,10,6,2,4,2,10,4,3,6,6,2,6,3,9,7,8,8
6,62,159,1,496379.15767984145,UK,Asia,3,2,4,6,8,5,0,5,7,0,8,0,1,0,1,0,0,0,0,1,0,1,1,10,2,4,4,4,1,7,4,7,9,3,9,8,2,7,10,9,10,6,10,6,7,3,4,10,7,3,2,7,10,4,1,6,10,7,6,3,5,2,10,4,9,7,1,5,4,8,8,6,6,9,7,6,3,3,1,1,7,5,10,2,10,3,2,10,5,4,8,2,5,10,8,8,10,5,8,1,7,9,1,5,7,5,3,10,2,7,2,5,4,10,3,5,1,1,9,1,8,6,9,1,8,5,10,10,3,4,1,8,4,5,3,4,6,4,3,8,5,7,2
14,65,303,0,363374.19119332195,China,Europe,2,1,2,1,2,5,1,2,1,1,9,1,1,1,1,1,1,1,1,1,1,1,0,5,1,5,7,8,1,4,7,5,10,4,1,2,9,1,5,10,2,7,7,8,8,6,2,2,4,4,7,5,9,3,3,4,9,8,5,1,6,7,8,7,4,6,1,7,1,6,1,3,5,1,2,8,9,8,2,4,5,5,4,5,4,8,2,3,7,10,4,10,6,9,6,4,1,2,8,4,10,8,10,7,2,2,9,1,2,7,5,10,6,4,2,4,6,5,8,8,7,7,5,10,6,6,5,2,7,10,6,7,2,9,1,8,10,2,1,1,7,9,8
18,91,253,0,1591528.8056574096,USA,Europe,9,8,2,9,10,1,0,8,10,0,4,0,1,0,0,0,0,0,1,1,1,1,1,1,6,4,10,7,7,6,3,6,4,2,9,2,4,6,10,7,3,2,1,2,6,8,5,3,5,4,1,7,2,10,7,9,3,10,4,1,2,3,8,4,7,5,5,3,1,1,1,4,2,5,7,1,7,7,7,5,2,1,3,5,2,8,5,9,6,8,5,2,8,2,7,6,2,8,1,9,5,9,2,6,8,4,4,3,1,1,6,8,1,3,4,10,1,8,3,7,5,6,2,6,2,4,7,6,2,6,10,10,5,1,2,4,9,6,5,5,2,2,3
15,40,222,0,858436.6540935113,Germany,Asia,3,3,3,3,1,2,0,7,2,1,2,1,0,1,0,1,1,0,1,1,0,1,0,3,2,2,3,7,2,2,10,1,4,3,1,5,6,8,10,5,1,7,8,5,6,2,4,4,1,2,9,6,5,6,1,1,4,6,4,4,8,3,6,8,9,10,8,5,8,10,4,6,10,8,4,2,8,8,10,6,10,6,1,8,4,1,9,3,5,5,9,10,3,8,8,1,2,7,2,8,4,6,2,7,9,7,3,6,6,4,3,3,6,2,5,7,6,7,2,2,8,8,8,5,3,4,2,8,4,8,5,7,6,6,3,8,3,4,3,6,10,10,10
18,2,482,1,1534463.2490209711,UK,North America,1,2,3,3,8,8,1,10,9,1,8,0,0,0,0,0,1,1,1,0,0,0,0,4,5,8,10,6,8,10,3,6,7,3,4,6,3,3,6,3,7,9,2,6,6,4,9,3,2,5,5,8,8,8,4,7,1,9,6,10,8,1,7,6,5,7,7,2,3,3,2,5,8,5,6,1,2,3,9,10,4,4,6,1,2,7,1,2,8,10,7,3,7,10,9,1,1,5,3,9,3,7,6,7,5,3,10,2,5,5,9,2,10,6,8,8,5,2,5,8,6,1,3,4,10,6,4,2,5,1,3,2,6,7,2,9,4,5,6,5,10,9,4
18,62,471,0,1152902.922954691,UK,Europe,4,9,2,10,8,4,1,6,6,0,7,1,1,0,0,0,1,1,1,0,0,0,0,10,5,6,8,5,6,1,3,5,3,1,8,7,7,3,5,2,2,10,9,1,1,7,10,3,6,2,7,5,1,10,7,3,2,4,1,4,9,9,9,6,8,1,2,2,3,2,7,5,1,4,5,4,9,1,10,2,6,2,1,4,9,10,5,10,1,7,3,1,2,4,4,9,3,9,10,2,8,8,4,5,7,9,9,4,10,10,2,3,2,4,7,1,3,5,10,2,5,7,4,2,5,5,10,4,7,9,7,9,7,4,6,3,9,4,2,4,5,10,1
13,78,184,0,989031.7587427936,UK,Asia,3,6,4,8,6,4,1,3,4,0,7,0,1,0,1,1,0,1,1,0,0,1,1,5,7,6,1,8,7,8,9,10,6,6,10,10,3,7,6,9,8,10,6,5,4,8,6,4,9,8,1,10,9,10,7,7,3,9,7,3,3,2,3,9,10,9,5,5,3,6,3,2,4,5,10,4,9,5,9,4,7,2,4,3,1,8,10,7,7,6,6,8,4,3,4,9,2,1,9,6,7,1,7,6,4,10,10,8,6,2,9,4,7,5,1,8,10,1,7,3,2,6,5,8,6,5,2,7,10,5,8,9,8,8,3,3,9,3,7,6,9,8,2
19,83,350,1,1477683.4040279945,Germany,North America,1,4,3,10,7,3,0,6,2,1,7,0,1,0,0,1,0,0,1,1,1,1,0,5,9,7,6,7,5,6,2,1,2,8,3,3,4,10,3,8,4,5,7,3,5,1,1,2,5,1,5,8,7,3,2,10,1,1,4,1,3,9,9,9,7,2,8,9,5,10,9,4,3,4,9,4,1,9,2,7,7,9,3,4,4,8,8,6,5,9,2,8,7,8,4,5,3,3,1,3,1,6,2,9,4,6,4,6,10,1,7,2,7,1,7,7,8,7,6,3,2,10,10,9,1,2,5,2,2,6,9,5,5,6,10,5,5,6,3,1,2,2,7
4,28,353,0,1076489.7229307701,Germany,North America,3,1,1,6,1,4,0,9,7,0,5,0,1,1,0,0,0,1,1,0,0,1,1,5,4,1,9,5,3,1,10,6,7,5,4,9,8,4,4,6,8,6,3,4,3,3,4,6,6,3,4,8,3,10,2,6,8,3,3,1,1,4,9,9,2,4,5,2,2,4,5,3,8,6,4,4,6,1,1,2,8,5,4,5,7,9,7,8,7,4,4,4,1,1,5,8,9,6,1,2,2,2,2,4,10,6,1,3,4,2,5,10,3,4,4,9,8,4,3,4,1,3,8,10,9,5,4,10,7,9,9,9,2,1,3,10,10,9,5,7,3,8,1
13,80,308,1,1257876.3787958184,Germany,Asia,5,7,2,6,9,1,0,5,6,0,9,0,1,1,1,1,0,0,0,1,0,1,1,8,9,7,2,1,3,4,7,5,9,3,3,1,1,7,10,7,9,9,4,10,5,9,5,8,5,8,3,7,10,2,3,10,7,2,1,10,7,9,1,3,6,1,9,9,9,7,1,1,9,9,2,8,8,6,7,8,4,3,2,2,7,9,9,10,4,5,2,4,10,3,3,9,3,1,1,3,8,10,5,2,1,6,10,4,8,7,10,5,6,1,9,9,5,5,1,3,8,4,8,2,4,7,7,9,7,3,8,8,4,10,4,5,1,5,1,7,6,3,4
10,76,75,1,1121718.4715591115,UK,North America,3,9,2,4,1,9,0,4,8,0,2,0,0,0,1,1,1,0,0,0,0,0,0,9,4,8,7,9,3,5,5,4,10,10,3,7,6,7,5,6,5,1,7,1,1,9,5,10,3,3,8,2,7,3,6,8,9,10,2,10,8,8,7,3,3,10,2,10,8,1,3,3,4,3,6,10,6,9,2,6,2,5,1,3,5,6,4,8,3,3,3,8,7,10,1,6,5,9,10,3,4,8,6,9,8,4,7,8,3,5,3,4,1,10,5,8,4,2,10,7,2,7,2,6,4,5,5,5,2,2,6,4,6,5,4,4,9,3,5,9,7,9,1
13,24,450,0,729553.7678341876,China,Asia,9,4,1,3,10,6,0,10,8,0,4,1,0,0,0,0,1,1,0,0,0,1,1,8,4,8,6,4,7,4,2,5,10,7,2,3,7,3,2,5,5,3,4,2,2,5,5,9,1,7,2,2,9,4,5,3,3,2,8,3,2,10,9,9,9,5,1,1,7,2,7,2,5,4,3,5,7,8,9,6,9,1,9,6,5,8,5,5,6,9,9,3,8,8,2,2,3,5,6,10,9,2,4,6,6,4,3,3,3,3,1,6,8,7,5,5,9,4,2,9,6,5,8,10,8,10,3,6,9,9,2,4,7,2,3,2,6,1,8,8,5,4,6
4,8,29,1,2178481.169669491,Germany,Europe,7,8,3,3,5,5,0,6,4,1,2,1,1,1,0,0,0,0,1,0,1,1,1,1,10,10,10,2,7,9,10,10,5,7,8,3,5,6,10,3,5,7,2,4,5,7,6,1,7,8,1,8,2,8,8,8,2,1,6,8,2,10,4,7,8,9,8,9,10,4,7,6,2,2,1,7,6,1,6,2,9,4,5,1,4,4,1,10,7,9,6,1,4,6,5,10,10,6,2,1,10,3,1,1,7,3,1,7,3,2,1,6,6,6,6,10,4,2,1,7,2,8,2,5,6,4,4,1,2,9,4,3,7,5,5,1,1,9,4,6,2,5,7
16,48,493,0,1247913.3661730299,Germany,North America,9,7,2,9,6,6,0,3,7,1,5,0,0,1,0,0,1,1,1,1,1,0,1,1,6,5,7,6,2,9,7,1,2,10,10,8,6,10,3,2,2,8,6,4,6,2,9,5,7,10,4,3,5,1,6,4,1,1,2,4,2,4,8,9,5,8,1,2,10,10,7,9,2,9,8,7,7,10,7,4,1,9,2,7,9,6,3,4,10,6,10,8,5,2,5,7,10,6,1,6,5,9,6,7,1,6,6,10,5,5,3,5,2,7,1,2,9,3,9,5,2,10,3,1,5,10,4,8,2,2,4,3,4,6,9,7,6,1,1,2,5,8,10
15,57,312,0,907808.7681211428,Germany,Europe,5,3,2,9,8,8,1,5,7,0,10,0,1,0,1,0,1,1,0,1,1,1,0,8,8,1,8,7,4,2,2,8,8,2,1,10,9,4,2,4,9,10,10,4,5,4,8,2,10,3,5,8,10,9,1,7,9,7,9,6,8,8,5,7,2,10,3,5,4,3,10,10,2,3,2,7,2,7,5,5,4,1,2,4,1,10,8,3,5,8,3,9,10,1,2,7,7,5,3,7,8,2,8,8,10,2,9,9,6,2,8,8,10,6,10,6,10,10,7,3,5,4,2,5,1,5,5,1,4,1,1,7,10,2,8,1,3,1,2,9,2,8,8
19,96,430,1,2172946.639077859,Germany,Asia,1,7,3,5,10,6,1,1,10,0,10,0,1,0,1,1,1,0,1,1,1,1,0,3,7,2,10,10,7,1,2,6,2,8,9,6,6,1,3,7,7,10,10,3,8,7,8,2,5,2,6,10,1,10,2,3,5,2,8,5,5,4,4,5,3,4,4,6,10,6,5,1,6,4,6,2,10,4,1,2,7,10,5,6,7,4,2,9,7,9,4,1,9,4,6,9,1,6,3,7,3,2,1,8,5,7,3,5,1,9,8,9,3,7,8,2,6,9,10,1,6,9,9,10,5,5,9,3,1,9,8,2,4,1,9,6,3,6,2,2,8,2,10
2,24,259,1,490773.4598014143,China,North America,1,4,3,6,2,6,1,9,5,0,8,0,0,0,1,0,1,1,0,1,1,1,1,8,6,5,9,3,3,10,6,10,7,10,7,5,8,9,10,9,4,10,5,1,8,10,8,5,10,8,9,4,5,8,7,4,7,3,2,4,7,1,9,1,2,2,2,10,2,8,2,4,10,9,8,1,5,1,10,2,7,6,4,7,7,2,9,6,4,7,6,8,3,4,9,3,10,6,1,2,9,3,5,2,6,7,7,3,3,4,10,1,4,6,9,6,4,8,8,10,6,6,9,1,2,8,3,1,9,6,10,5,10,5,1,1,1,9,7,3,7,9,7
3,27,480,0,964657.2914527756,Germany,Asia,3,3,4,8,8,2,0,5,9,0,2,0,1,0,1,0,0,0,1,0,0,0,1,6,4,2,1,4,3,1,9,5,10,8,2,5,6,4,5,9,6,2,4,2,7,2,3,10,1,8,1,4,8,1,9,2,10,6,1,2,4,1,4,1,3,4,8,10,1,3,10,3,1,4,7,6,9,8,9,8,5,9,7,7,1,2,6,1,7,7,6,9,9,7,1,6,6,8,10,10,7,7,1,4,8,4,4,7,6,1,3,2,5,5,2,6,4,9,4,6,10,2,6,1,2,2,6,2,1,7,6,8,9,7,3,7,1,5,8,8,9,2,6
10,2,386,0,-108254.75120829488,China,Asia,2,9,2,6,3,1,0,2,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,9,5,6,4,4,8,4,1,10,3,10,2,3,7,3,4,5,9,5,4,5,9,3,5,9,10,4,7,6,6,4,9,3,8,10,9,8,7,4,1,1,6,9,8,2,9,7,2,3,6,7,6,3,1,5,10,5,1,1,8,1,3,6,7,5,10,9,6,1,10,4,10,3,4,10,7,5,1,8,8,4,4,5,8,2,5,7,2,7,3,6,9,9,2,1,5,10,7,4,8,8,7,4,7,3,4,10,3,7,7,10,1,8,10,10,1,8,9,8,7
17,10,42,0,2621786.488275229,China,Europe,9,5,2,5,9,3,0,10,7,0,6,1,0,1,0,1,1,0,0,1,0,0,0,10,5,9,1,5,8,2,8,6,9,5,7,10,5,7,1,1,3,5,5,8,7,10,2,10,9,9,5,10,8,5,7,9,8,5,7,10,3,10,7,10,1,3,3,5,7,10,2,9,5,10,4,3,7,5,10,1,10,4,6,10,3,4,9,3,10,4,5,1,5,1,7,7,4,3,10,7,9,8,8,6,4,2,3,5,9,4,4,2,3,8,3,10,5,3,6,8,10,7,3,3,7,10,10,2,6,9,3,2,1,8,5,6,3,6,1,5,5,5,7
